,lng,lat,type,line,name,utm
155,2.2057828445594554,41.45937552702093,METRO,L9,SINGUERLÍN,"(773549.8302980205, 244032.55952323342, 37, 'N')"
156,2.210133119463337,41.444255156400644,METRO,L9,CAN PEIXAUET,"(771866.2121238812, 244511.06892530786, 37, 'N')"
157,2.2124152143832982,41.45451214006403,METRO,L9,ESGLÉSIA MAJOR,"(773007.3435251587, 244765.42841634963, 37, 'N')"
158,2.215910830603854,41.44669333746421,METRO,L9,SANTA ROSA,"(772136.5135306823, 245150.72099014776, 37, 'N')"
159,2.186309,41.420784000000005,METRO,L9,LA SAGRERA,"(769258.3012297801, 241871.10846960358, 37, 'N')"
160,2.186244867186645,41.42096945635101,METRO,L10,LA SAGRERA,"(769278.9528917054, 241864.0466961063, 37, 'N')"
161,2.193403,41.429742,METRO,L9,ONZE DE SETEMBRE,"(770254.0055087231, 242657.53928459092, 37, 'N')"
162,2.193135139630181,41.42975784125333,METRO,L10,ONZE DE SETEMBRE,"(770255.8166752381, 242627.90834995787, 37, 'N')"
163,2.2050650000000003,41.436122,METRO,L9,BON PASTOR,"(770961.9591867838, 243948.88485264528, 37, 'N')"
164,2.204796554485712,41.43607403926495,METRO,L10,BON PASTOR,"(770956.6700523258, 243919.1774383866, 37, 'N')"
